,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
72,Anne Hathaway,12 de noviembre de 1982 ,Estados Unidos,2007,"['Mejor actriz de reparto 2012 • Les Misérables', 'Mejor actriz de reparto 2012 • Les Misérables', 'Mejor actriz de reparto 2012 • Les Misérables', 'Mejor actuación de voz 2010 • The Simpsons', 'Mejor actriz de reparto 2012  • Les Misérables', 'Premio de la Crítica Cinematográfica a la Mejor Actriz 2008 • El casamiento de Raquel Premio de la Crítica Cinematográfica a la Mejor Actriz de Reparto 2012 • Les Misérables National Board of Review a la Mejor Actriz 2008 • El casamiento de Raquel National Board of Review al Mejor Reparto 2012 • Les Misérables 2002 • Nicholas Nickleby Premio Satellite a la Mejor Actriz - Musical o Comedia 2010 • Love and Other Drugs', 'Premio de la Crítica Cinematográfica a la Mejor Actriz 2008 • El casamiento de Raquel Premio de la Crítica Cinematográfica a la Mejor Actriz de Reparto 2012 • Les Misérables National Board of Review a la Mejor Actriz 2008 • El casamiento de Raquel National Board of Review al Mejor Reparto 2012 • Les Misérables 2002 • Nicholas Nickleby Premio Satellite a la Mejor Actriz - Musical o Comedia 2010 • Love and Other Drugs']"
73,Jake Gyllenhaal,19 de diciembre de 1980 ,Estados Unidos,2007,"['SAG-AFTRA', 'Mejor actor de reparto 2005 Brokeback Mountain']"
74,Oliver Platt,12 de enero de 1960 ,Canadá,1987,"['SAG-AFTRA', 'Mejor actor de reparto 2005 Brokeback Mountain']"
75,Gabriel Macht,12 de enero de 1960 ,2019.,1987,"['SAG-AFTRA', 'Mejor actor de reparto 2005 Brokeback Mountain']"
76,Katheryn Winnick,17 de diciembre de 1977 ,Canadá,1999,"['SAG-AFTRA', 'Mejor actor de reparto 2005 Brokeback Mountain']"
77,Josh Gad,23 de febrero de 1981 ,Estados Unidos,2002,['Premio Annie (2014 y 2020)']
78,Hank Azaria,25 de abril de 1964 ,Estados Unidos,1986,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
79,Keir Gilchrist,28 de septiembre de 1992 ,Reino Unido,2003,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
80,Emma Roberts,28 de febrero de 1991 ,Estados Unidos,2003,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
81,Viola Davis,11 de agosto de 1965 ,Estados Unidos,2003,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
82,Lauren Graham,16 de marzo de 1967 ,Estados Unidos,2003,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
83,Jim Gaffigan,7 de julio de 1966 ,Estados Unidos,2003,"['Mejor actuación de voz 1998 Los Simpson 2001 Los Simpson 2003 Los Simpson 2015 Los Simpson Mejor actor de reparto - Miniserie o telefilme 2000 Tuesdays with Morrie Mejor actor invitado en una serie dramática 2016 Ray Donovan', 'Mejor reparto 1996 The Birdcage', 'Premio Annie Theatre World Award (2005)', 'Premio Annie Theatre World Award (2005)']"
84,Carla Peterson,6 de abril de 1974 ,Argentina,2003,"['Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro a la mejor actriz de comedia']"
85,Luisana Lopilato,18 de mayo de 1987 ,Argentina,2003,"['Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro a la mejor actriz de comedia']"
86,Peto Menahem,28 de febrero de 1970 ,Argentina,2003,"['Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro a la mejor actriz de comedia']"
87,Luis Machín,28 de febrero de 1970 ,2015.,2003,"['Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro a la mejor actriz de comedia']"
88,Fabio Di Tomaso,9 de abril de 1977 ,Canadá,2003,"['Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro Mejor actriz de comedia 2007 Lalola 2008 Lalola / Los exitosos Pells Mejor actriz de ficción diaria 2014 Guapas 2019 100 días para enamorarse Premio Clarín Mejor actriz de comedia 2007 Lalola 2008 Lalola', 'Premio Martín Fierro a la mejor actriz de comedia']"
89,Mirta Wons,12 de marzo de 1965 ,Argentina,2003,['premio ACE 1997-1998: «Revelación femenina» por Nine Premio Cóndor de Plata 1999: «Revelación femenina» por El amateur']
90,Alice Eve,6 de febrero de 1982 ,Reino Unido,2003,['premio ACE 1997-1998: «Revelación femenina» por Nine Premio Cóndor de Plata 1999: «Revelación femenina» por El amateur']
91,Jay Baruchel,9 de abril de 1982 ,Canadá,2003,['premio ACE 1997-1998: «Revelación femenina» por Nine Premio Cóndor de Plata 1999: «Revelación femenina» por El amateur']
92,T. J. Miller,9 de abril de 1982 ,2019.,2003,['premio ACE 1997-1998: «Revelación femenina» por Nine Premio Cóndor de Plata 1999: «Revelación femenina» por El amateur']
93,Krysten Ritter,16 de diciembre de 1981 ,Estados Unidos,2003,['premio ACE 1997-1998: «Revelación femenina» por Nine Premio Cóndor de Plata 1999: «Revelación femenina» por El amateur']
94,Mike Vogel,17 de julio de 1979 ,Estados Unidos,2003,"['Mejor reparto 2012 The Help', 'Premio de la Crítica Cinematográfica al mejor reparto 2011 The Help']"
95,Lindsay Sloane,8 de agosto de 1977 ,Estados Unidos,1990,"['Mejor reparto 2012 The Help', 'Premio de la Crítica Cinematográfica al mejor reparto 2011 The Help']"
96,Nate Torrence,1 de diciembre de 1977 ,S.,2003,"['Mejor reparto 2012 The Help', 'Premio de la Crítica Cinematográfica al mejor reparto 2011 The Help']"
97,Trevor Eve,1 de julio de 1951 ,Reino Unido,2003,['Laurence Olivier Award for Best Actor in a Supporting Role (1997)']
98,Julia Roberts,28 de octubre de 1967 ,Estados Unidos,2003,"['Mejor actriz 2000 • Erin Brockovich [ 1 ] \u200b', 'Mejor actriz - Drama 2001 • Erin Brockovich Mejor actriz - Comedia o musical 1991 • Pretty Woman Mejor actriz de reparto 1990 • Steel Magnolias', 'Mejor actriz 2000 • Erin Brockovich', 'Mejor actriz 2000 • Erin Brockovich [ 2 ] \u200b', 'Premio Donostia 2010 • Premio a la Trayectoria Profesional', 'Premio de la Crítica Cinematográfica a la mejor actriz 2000 • Erin Brockovich']"
99,Jessica Biel,3 de marzo de 1982 ,Estados Unidos,1992,"['Mejor actriz 2000 • Erin Brockovich [ 1 ] \u200b', 'Mejor actriz - Drama 2001 • Erin Brockovich Mejor actriz - Comedia o musical 1991 • Pretty Woman Mejor actriz de reparto 1990 • Steel Magnolias', 'Mejor actriz 2000 • Erin Brockovich', 'Mejor actriz 2000 • Erin Brockovich [ 2 ] \u200b', 'Premio Donostia 2010 • Premio a la Trayectoria Profesional', 'Premio de la Crítica Cinematográfica a la mejor actriz 2000 • Erin Brockovich']"
