,0,1,2,3,4,5
99,6.5,Roger Michell,"Aline Brosh Mc, Kenna",Una productora de televisión novata acepta el reto de resucitar un programa matinal en apuros con copresentadores enfrentados.,107,Morning Glory
100,7.1,Dimitar Mitovski,Delyana Maneva,"A concert to celebrate Bulgaria joining the EU is being planned at the Embassy in London and it is the job of VARADIN, the new ambassador, to ensure the Queen attends. But with corrupt staff, criminal gangs operating out of the kitchen, falling in love with a stripper and a little misunderstanding with a PR firm that provides look-alike royalties - his simple task tur... Leer todo",107,Mission London
101,5.5,Abram Cox,Doug Steinberg,A mild-mannered secretary discovers that she has a talent for murder as she ascends the corporate ladder.,92,Miss Nobody
102,6.2,Yule Caise,Yule Caise,"SWISHBUCKLERS is an offbeat comedy about three macho martial artists who join an all-gay production of The Three Musketeers in order to save their dojo. The trials and tribulations of our heroes give new meaning to the phrase, ""All for one, and one for all!"" Swordplay and jokes ensue amidst a touching story of friendship and tolerance.",87,Swishbucklers
103,7.8,María Costa,María Costa,"Maria Costa, Called ""The Latina Lucille Ball"" honors traditional values in a modern world. Onstage, Costa portrays an array of outrageous and hilarious characters from her ultra-macho father to her overly critical mother-in-law. Maria brilliantly captures the diverse rhythms of Latin life with irresistible style to her journey of self-discovery.",69,Maria Costa's Macho Men and the Women Who Love Them
104,6.3,Morag McKinnon,"Colin Mc, Laren","Alfred is 64. He's lost touch with his family and a threat to his health makes him realise he wants to make amends. The more he tries to do right, the more he does wrong, and as his past comes back to haunt him, he is forced to face up to what his life means to him. Rounding Up Donkeys is the second film in Sigma and Zentropa's three feature film concept 'Advance Part... Leer todo",78,Donkeys
105,9.1,V. Nagaraj,"C. Kumaresan, Jasmine Michael, K.K. Khanna",No tiene argumento,120,Undercover Rascals
106,3.1,James Abadi,"Adam Abadi, James Abadi",A frustrated music business executive accidentally creates a band called F**K and has to find a group of talentless no-hopers to take on the music industry and become rock stars.,No tiene datos,The Story of F***
107,4.1,David A.R. White,Jill Gatsby,"An Amish man comes to Hollywood to be a missionary, and gets cast as Satan on a nighttime soap opera.",90,Holyman Undercover
108,6.8,Janis Streics,"Rudolfs Blaumanis, Janis Streics",The old soldier of the emperor Rudolfs Rudups becomes very unmanageable when he is hit by Amor's arrow.,114,Rudolfa mantojums
109,6.0,Pau Martínez,"Javier Domingo, Ferran Folch",The city council would like to evict a group of squatters in order to use their Big House for a community center.,97,El kaserón
110,5.1,Ricky Reidling,Ricky Reidling,A gay romantic comedy about a guy who loses his job and out of desperation takes a job in a cabaret club as a drag performer.,102,Heels
111,4.8,David Serrano,Olga Iglesias,Claudia es una atractiva y emprendedora treintañera que forma una familia ideal junto a su marido y su hijo.,96,Una hora más en Canarias
112,7.9,Timothy Alan Richardson,Michael Kouroubetes,Celebrity teen wizard Harvey Putter and his friends learn that they are merely characters in a best-selling book and must magically escape their world before the final chapter.,100,Harvey Putter and the Ridiculous Premise
113,5.6,Dick Maas,Dick Maas,Muestra a San Nicolás como un obispo asesino que secuestra y asesina a niños cuando hay luna llena el 5 de diciembre.,88,Saint
114,2.4,Gabriel Bologna,Camille Solari,Carmela and Lynne are femme fatales who have a vendetta for cheating men. These Boston girls tour the city on a mad killing spree with a taste for blood and homespun justice. When they catch their cheating boyfriends red-handed things get nasty. But their vengeful rampage doesn't stop with cheating men!,90,Boston Girls
115,No tiene datos,David Thompson,David Thompson,No tiene datos,No tiene datos,"Qué Sera, Sera"
116,6.3,David Robert Mitchell,David Robert Mitchell,Cuatro jóvenes navegan por el paraíso suburbano del metro de Detroit en busca de amor y aventuras el último fin de semana del verano.,96,El mito de la adolescencia
117,5.6,Jacob Chase,Marja-Lewis Ryan,"Two couples in their twenties, who are struggling to find substance and meaning in their lives and relationships, meet by happenstance in a New York City Irish tavern called The Four-Faced Liar.",87,The Four-Faced Liar
118,6.5,Álvaro Curiel,Álvaro Curiel,"A Mexican worker tries to migrate to the United States posing as a Cuban immigrant, but destiny has something else in mind for him.",102,Acorazado
119,7.7,Keren Atzmon,Jennie Allen,"A coming-of-age-at-thirty, offbeat comedy about a flaky writer who loses her sister's cat and falls for the aspiring rockstar who joins her on a wild search in the East Village",93,Failing Better Now
120,6.3,Luc Besson,Luc Besson,"En 1912, la periodista Adèle viaja a Egipto para hacerse con una momia. Su intención es encontrar la cura para su hermana, pero lo único que logra con su experimento es resucitar un huevo de pterodáctilo que provoca el pánico en París.",107,Adèle y el misterio de la momia
121,6.3,Jonás Trueba,"Daniel Gascón, Jonás Trueba","Un chico que intenta olvidar a una chica, una historia mucho más difícil de soportar, especialmente cuando la chica de la que te acabas de separar vuelve de nuevo en cada uno de los recuerdos de tu pasado.",107,Todas las canciones hablan de mí
122,6.3,Woody Allen,Woody Allen,"El matrimonio de los padres de Sally se rompe cuando su padre sufre una crisis de mediana edad y se casa de manera impulsiva con una prostituta. Mientras tanto, el matrimonio de Sally también comienza a desintegrarse.",98,Conocerás al hombre de tus sueños
123,4.3,Mudassar Aziz,Mudassar Aziz,A man marries so he can inherit his father's wealth.,152,Dulha Mil Gaya
124,3.1,Neil Jones,Neil Jones,"The world may be recovering from a global zombie outbreak, but that's not stopping Dean from marrying. The stag party, along with a PVC-clad stripper they've hired, go to play Zomball - like paintball, except that you get to shoot zombies.",81,Stag Night of the Dead
125,6.3,Bernard Rose,Bernard Rose,"The life story of Howard Marks, an elite British drug smuggler.",121,Mr. Nice
126,6.0,Ryan Pierson,Jeremy K. Clayton,"AT BEST DERIVATIVE: A band of fledgling criminals plan to sell the story/movie rights to a crime they have yet to commit. True crime is big nowadays. Nobody knows that better than the truest of criminals, Waffle House, and his band of ill-to-doers who have a plan to knock off the local bank on spec. All they need is an inside man, Edwin Sage, to help iron out a few of... Leer todo",No tiene datos,At Best Derivative
127,5.5,Mark Steven Johnson,David Diamond,"Beth es una joven y ambiciosa neoyorquina que tiene muy mala suerte en el amor. Sin embargo, en un viaje relámpago a Roma, roba impulsivamente unas monedas de una supuesta fuente del amor, y entonces es perseguida por unos pretendientes.",91,En la boda de mi hermana
128,5.1,Andrés Couturier,"Emmy Laybourne, Sam Laybourne, Rob Sosin","Join Mr. Magoo and his nephew, Justin, as they dodge giant robotic spiders and jetski ninjas on a kung fu-style adventure! When supervillian, Tan-Gu, invites the world's most notorious bad guys to compete in the ""Evil-lympics,"" there's only one person who can put a stop to the wickedness and save mankind--Kung Fu Magoo!",79,Kung-Fu Magoo
129,5.8,Mark Toma,Mark Toma,Prince of Swine is a sex comedy about feminism.,100,Prince of Swine
130,4.3,Kireet Khurana,Raagi Bhatnagar,A reel-life costumed actor is abducted and asked to be a real hero by Toon characters.,95,Toonpur Ka Superrhero
131,7.0,Peter Coggan,Peter Coggan,"In this tough-as-nails, coming-of-age comedy, high school valedictorian Chris Johnson's plans for an Ivy League future are suddenly derailed by an unfortunate chem lab explosion. In order to keep the mishap off his permanent record, Chris must attend - and survive - Saturday detention under the watchful eye of the woodshop teacher (Jesse Ventura), an ex-Army Ranger wh... Leer todo",90,Woodshop
