,0
977,No tiene datos
978,No tiene datos
979,45
980,No tiene datos
981,No tiene datos
982,No tiene datos
983,No tiene datos
984,No tiene datos
985,No tiene datos
986,No tiene datos
987,No tiene datos
988,No tiene datos
989,No tiene datos
990,No tiene datos
991,No tiene datos
992,No tiene datos
993,No tiene datos
994,No tiene datos
995,No tiene datos
996,53
997,No tiene datos
998,No tiene datos
999,70
1000,No tiene datos
1001,0
1002,83
1003,No tiene datos
1004,No tiene datos
1005,No tiene datos
1006,72
1007,No tiene datos
1008,No tiene datos
1009,No tiene datos
1010,37
1011,No tiene datos
1012,No tiene datos
1013,No tiene datos
1014,No tiene datos
1015,No tiene datos
1016,No tiene datos
1017,39
1018,No tiene datos
1019,No tiene datos
1020,No tiene datos
1021,No tiene datos
1022,No tiene datos
1023,27
1024,No tiene datos
1025,No tiene datos
1026,No tiene datos
1027,No tiene datos
1028,No tiene datos
1029,No tiene datos
1030,0
1031,No tiene datos
1032,No tiene datos
1033,No tiene datos
1034,No tiene datos
1035,No tiene datos
1036,No tiene datos
1037,No tiene datos
1038,No tiene datos
1039,No tiene datos
1040,No tiene datos
1041,No tiene datos
1042,No tiene datos
1043,No tiene datos
1044,No tiene datos
1045,No tiene datos
1046,36
1047,No tiene datos
1048,No tiene datos
1049,89
1050,No tiene datos
1051,No tiene datos
1052,80
1053,No tiene datos
1054,No tiene datos
1055,No tiene datos
1056,No tiene datos
1057,No tiene datos
1058,No tiene datos
1059,No tiene datos
1060,18
1061,No tiene datos
1062,No tiene datos
1063,No tiene datos
1064,76
1065,No tiene datos
1066,No tiene datos
1067,64
1068,No tiene datos
1069,No tiene datos
1070,No tiene datos
1071,50
1072,No tiene datos
1073,No tiene datos
1074,60
1075,50
1076,No tiene datos
1077,No tiene datos
1078,27
1079,No tiene datos
1080,No tiene datos
1081,No tiene datos
1082,No tiene datos
1083,38
1084,No tiene datos
1085,33
1086,No tiene datos
1087,32
1088,No tiene datos
1089,No tiene datos
1090,No tiene datos
1091,No tiene datos
1092,No tiene datos
1093,No tiene datos
1094,No tiene datos
1095,No tiene datos
1096,67
1097,No tiene datos
1098,No tiene datos
1099,No tiene datos
1100,No tiene datos
1101,No tiene datos
1102,No tiene datos
1103,No tiene datos
1104,No tiene datos
1105,No tiene datos
1106,No tiene datos
1107,83
1108,No tiene datos
1109,No tiene datos
1110,No tiene datos
1111,No tiene datos
1112,No tiene datos
1113,No tiene datos
1114,9
1115,No tiene datos
1116,No tiene datos
1117,No tiene datos
1118,No tiene datos
1119,No tiene datos
1120,No tiene datos
1121,100
1122,No tiene datos
1123,No tiene datos
1124,No tiene datos
1125,No tiene datos
1126,No tiene datos
1127,No tiene datos
1128,67
1129,No tiene datos
1130,100
1131,No tiene datos
1132,No tiene datos
1133,No tiene datos
1134,No tiene datos
1135,No tiene datos
1136,No tiene datos
1137,No tiene datos
1138,No tiene datos
1139,No tiene datos
1140,No tiene datos
1141,No tiene datos
1142,No tiene datos
1143,No tiene datos
1144,No tiene datos
1145,No tiene datos
1146,No tiene datos
1147,No tiene datos
1148,No tiene datos
1149,No tiene datos
1150,No tiene datos
1151,No tiene datos
1152,No tiene datos
1153,No tiene datos
1154,45
1155,No tiene datos
1156,20
1157,18
1158,No tiene datos
1159,No tiene datos
1160,No tiene datos
1161,No tiene datos
1162,0
1163,No tiene datos
1164,No tiene datos
1165,No tiene datos
1166,No tiene datos
1167,No tiene datos
1168,No tiene datos
1169,No tiene datos
1170,62
1171,No tiene datos
1172,No tiene datos
1173,No tiene datos
1174,No tiene datos
1175,30
1176,33
1177,No tiene datos
1178,No tiene datos
1179,No tiene datos
1180,No tiene datos
1181,No tiene datos
1182,No tiene datos
1183,69
1184,No tiene datos
1185,No tiene datos
1186,No tiene datos
1187,No tiene datos
1188,No tiene datos
1189,No tiene datos
1190,No tiene datos
1191,53
1192,65
1193,No tiene datos
1194,No tiene datos
1195,No tiene datos
1196,"4,1/10"
1197,No tiene datos
1198,No tiene datos
1199,No tiene datos
1200,No tiene datos
1201,71
1202,62
1203,No tiene datos
1204,81
1205,No tiene datos
1206,No tiene datos
1207,44
1208,No tiene datos
1209,No tiene datos
1210,No tiene datos
1211,No tiene datos
1212,No tiene datos
1213,No tiene datos
1214,No tiene datos
1215,No tiene datos
1216,No tiene datos
1217,No tiene datos
1218,No tiene datos
1219,No tiene datos
1220,79
1221,No tiene datos
1222,No tiene datos
1223,No tiene datos
1224,No tiene datos
1225,No tiene datos
1226,No tiene datos
1227,No tiene datos
1228,No tiene datos
1229,No tiene datos
1230,No tiene datos
1231,No tiene datos
1232,No tiene datos
1233,No tiene datos
1234,No tiene datos
1235,70
1236,83
1237,No tiene datos
1238,No tiene datos
1239,No tiene datos
1240,No tiene datos
1241,77
1242,No tiene datos
1243,No tiene datos
1244,No tiene datos
1245,No tiene datos
1246,No tiene datos
1247,54
1248,No tiene datos
1249,No tiene datos
1250,No tiene datos
1251,No tiene datos
1252,No tiene datos
1253,No tiene datos
1254,No tiene datos
1255,80
1256,67
1257,No tiene datos
1258,37
1259,No tiene datos
1260,No tiene datos
1261,No tiene datos
1262,No tiene datos
1263,No tiene datos
1264,No tiene datos
1265,No tiene datos
1266,90
1267,No tiene datos
1268,No tiene datos
1269,No tiene datos
1270,No tiene datos
1271,No tiene datos
1272,69
1273,No tiene datos
1274,No tiene datos
1275,No tiene datos
1276,No tiene datos
1277,No tiene datos
1278,No tiene datos
1279,No tiene datos
1280,No tiene datos
1281,No tiene datos
1282,33
1283,No tiene datos
1284,No tiene datos
1285,No tiene datos
1286,No tiene datos
1287,No tiene datos
1288,No tiene datos
1289,29
1290,No tiene datos
1291,42
1292,17
1293,No tiene datos
1294,50
1295,71
1296,No tiene datos
1297,No tiene datos
1298,94
1299,No tiene datos
1300,No tiene datos
1301,No tiene datos
1302,No tiene datos
1303,No tiene datos
1304,49
1305,53
1306,94
1307,No tiene datos
1308,No tiene datos
1309,No tiene datos
1310,No tiene datos
1311,No tiene datos
1312,60
1313,No tiene datos
1314,No tiene datos
1315,53
1316,No tiene datos
1317,No tiene datos
1318,71
1319,No tiene datos
1320,No tiene datos
1321,No tiene datos
1322,4
1323,No tiene datos
1324,No tiene datos
1325,No tiene datos
1326,No tiene datos
1327,No tiene datos
1328,No tiene datos
1329,67
1330,No tiene datos
1331,14
1332,No tiene datos
1333,No tiene datos
1334,86
1335,No tiene datos
1336,67
1337,No tiene datos
1338,No tiene datos
1339,No tiene datos
1340,No tiene datos
1341,No tiene datos
1342,No tiene datos
1343,No tiene datos
1344,No tiene datos
1345,No tiene datos
1346,No tiene datos
1347,No tiene datos
1348,No tiene datos
1349,29
1350,24
1351,No tiene datos
1352,No tiene datos
1353,No tiene datos
1354,No tiene datos
1355,No tiene datos
1356,No tiene datos
1357,No tiene datos
1358,No tiene datos
1359,40
1360,No tiene datos
1361,70
1362,No tiene datos
1363,No tiene datos
1364,29
1365,No tiene datos
1366,No tiene datos
1367,No tiene datos
1368,No tiene datos
1369,No tiene datos
1370,No tiene datos
1371,No tiene datos
1372,No tiene datos
1373,No tiene datos
1374,86
1375,0
1376,No tiene datos
1377,No tiene datos
1378,No tiene datos
1379,43
1380,No tiene datos
1381,54
1382,No tiene datos
1383,No tiene datos
1384,57
1385,No tiene datos
1386,No tiene datos
1387,No tiene datos
1388,43
1389,No tiene datos
1390,No tiene datos
1391,No tiene datos
1392,19
1393,No tiene datos
1394,56
1395,No tiene datos
1396,No tiene datos
1397,No tiene datos
1398,No tiene datos
1399,No tiene datos
1400,56
1401,No tiene datos
1402,No tiene datos
1403,No tiene datos
1404,No tiene datos
1405,No tiene datos
1406,No tiene datos
1407,No tiene datos
1408,No tiene datos
1409,No tiene datos
1410,0
1411,No tiene datos
1412,No tiene datos
1413,No tiene datos
